original_code,code,code_level,sector,borderline
81.29,8129,4,NA,NA
81.3,813,4,NA,NA
NA,8130,NA,NA,NA
82,82,2,NA,NA
82.1,821,3,NA,NA
82.11,8211,4,NA,NA
82.19,8219,4,NA,NA
82.2,822,4,NA,NA
NA,8220,NA,NA,NA
82.3,823,4,NA,NA
NA,8230,NA,NA,NA
82.9,829,3,NA,NA
82.91,8291,4,NA,NA
82.92,8292,4,NA,NA
82.99,8299,4,NA,NA
84,84,2,NA,NA
84.1,841,3,NA,NA
84.11,8411,4,NA,NA
84.12,8412,4,NA,NA
84.13,8413,4,NA,NA
84.2,842,3,NA,NA
84.21,8421,4,NA,NA
84.22,8422,4,NA,NA
84.23,8423,4,NA,NA
84.24,8424,4,NA,NA
84.25,8425,4,NA,NA
84.3,843,4,NA,NA
NA,8430,NA,NA,NA
85,85,2,NA,NA
85.1,851,4,NA,NA
NA,8510,NA,NA,NA
85.2,852,4,NA,NA
NA,8520,NA,NA,NA
85.3,853,3,NA,NA
85.31,8531,4,NA,NA
85.32,8532,4,NA,NA
85.4,854,3,NA,NA
85.41,8541,4,NA,NA
85.42,8542,4,NA,NA
85.5,855,3,NA,NA
85.51,8551,4,NA,NA
85.52,8552,4,NA,NA
85.53,8553,4,NA,NA
85.59,8559,4,NA,NA
85.6,856,4,NA,NA
NA,8560,NA,NA,NA
86,86,2,NA,NA
86.1,861,4,NA,NA
NA,8610,NA,NA,NA
86.2,862,3,NA,NA
86.21,8621,4,NA,NA
86.22,8622,4,NA,NA
86.23,8623,4,NA,NA
86.9,869,4,NA,NA
NA,8690,NA,NA,NA
87,87,2,NA,NA
87.1,871,4,NA,NA
NA,8710,NA,NA,NA
87.2,872,4,NA,NA
NA,8720,NA,NA,NA
87.3,873,4,NA,NA
NA,8730,NA,NA,NA
87.9,879,4,NA,NA
NA,8790,NA,NA,NA
88,88,2,NA,NA
88.1,881,4,NA,NA
NA,8810,NA,NA,NA
88.9,889,3,NA,NA
88.91,8891,4,NA,NA
88.99,8899,4,NA,NA
8.92,892,4,NA,NA
8.93,893,4,NA,NA
8.99,899,4,NA,NA
90,90,3,NA,NA
90.01,9001,4,NA,NA
90.02,9002,4,NA,NA
90.03,9003,4,NA,NA
90.04,9004,4,NA,NA
91.01,9101,4,NA,NA
91.02,9102,4,NA,NA
91.03,9103,4,NA,NA
91.04,9104,4,NA,NA
92,92,4,NA,NA
NA,9200,NA,NA,NA
93,93,2,NA,NA
93.1,931,3,NA,NA
93.11,9311,4,NA,NA
93.12,9312,4,NA,NA
93.13,9313,4,NA,NA
93.19,9319,4,NA,NA
93.2,932,3,NA,NA
93.21,9321,4,NA,NA
93.29,9329,4,NA,NA
94,94,2,NA,NA
94.1,941,3,NA,NA
94.11,9411,4,NA,NA
94.12,9412,4,NA,NA
94.2,942,4,NA,NA
NA,9420,NA,NA,NA
94.9,949,3,NA,NA
94.91,9491,4,NA,NA
94.92,9492,4,NA,NA
94.99,9499,4,NA,NA
95,95,2,NA,NA
95.1,951,3,NA,NA
95.11,9511,4,NA,NA
95.12,9512,4,NA,NA
95.2,952,3,NA,NA
95.21,9521,4,NA,NA
95.22,9522,4,NA,NA
95.23,9523,4,NA,NA
95.24,9524,4,NA,NA
95.25,9525,4,NA,NA
95.29,9529,4,NA,NA
96,96,3,NA,NA
96.01,9601,4,NA,NA
96.02,9602,4,NA,NA
96.03,9603,4,NA,NA
96.04,9604,4,NA,NA
96.09,9609,4,NA,NA
97,97,4,NA,NA
NA,9700,NA,NA,NA
98,98,2,NA,NA
98.1,981,4,NA,NA
NA,9810,NA,NA,NA
98.2,982,4,NA,NA
NA,9820,NA,NA,NA
NA,9900,NA,NA,NA
28.24,2824,4,NA,NA
